"STATISTIC","Statistic","TLIST(A1)","Year","C03514V04244","Electoral Division","UNIT","VALUE"
"IIA01","Household median gross income","2016","2016","02014","014 Ballygall D, Dublin City","Euro","48264"
"IIA01","Household median gross income","2016","2016","02015","015 Ballymun A, Dublin City","Euro","43696"
"IIA01","Household median gross income","2016","2016","02016","016 Ballymun B, Dublin City","Euro","32891"
"IIA01","Household median gross income","2016","2016","02017","017 Ballymun C, Dublin City","Euro","35408"
"IIA01","Household median gross income","2016","2016","02018","018 Ballymun D, Dublin City","Euro","29001"
"IIA01","Household median gross income","2016","2016","02019","019 Ballymun E, Dublin City","Euro","56725"
"IIA01","Household median gross income","2016","2016","02020","020 Ballymun F, Dublin City","Euro","51818"
"IIA01","Household median gross income","2016","2016","02021","021 Beaumont A, Dublin City","Euro","46176"
"IIA01","Household median gross income","2016","2016","02022","022 Beaumont B, Dublin City","Euro","55941"
"IIA01","Household median gross income","2016","2016","02023","023 Beaumont C, Dublin City","Euro","47292"
"IIA01","Household median gross income","2016","2016","02024","024 Beaumont D, Dublin City","Euro","65982"
"IIA01","Household median gross income","2016","2016","02025","025 Beaumont E, Dublin City","Euro","49943"
"IIA01","Household median gross income","2016","2016","02026","026 Beaumont F, Dublin City","Euro","59198"
"IIA01","Household median gross income","2016","2016","02027","027 Botanic A, Dublin City","Euro","54579"
"IIA01","Household median gross income","2016","2016","02028","028 Botanic B, Dublin City","Euro","62621"
"IIA01","Household median gross income","2016","2016","02029","029 Botanic C, Dublin City","Euro","56164"
"IIA01","Household median gross income","2016","2016","02030","030 Cabra East A, Dublin City","Euro","48238"
"IIA01","Household median gross income","2016","2016","02031","031 Cabra East B, Dublin City","Euro","37486"
"IIA01","Household median gross income","2016","2016","02032","032 Cabra East C, Dublin City","Euro","37516"
"IIA01","Household median gross income","2016","2016","02033","033 Cabra West A, Dublin City","Euro","40853"
"IIA01","Household median gross income","2016","2016","02034","034 Cabra West B, Dublin City","Euro","34222"
"IIA01","Household median gross income","2016","2016","02035","035 Cabra West C, Dublin City","Euro","41250"
"IIA01","Household median gross income","2016","2016","02036","036 Cabra West D, Dublin City","Euro","52257"
"IIA01","Household median gross income","2016","2016","02037","037 Clontarf East A, Dublin City","Euro","56483"
"IIA01","Household median gross income","2016","2016","02038","038 Clontarf East B, Dublin City","Euro","68864"
"IIA01","Household median gross income","2016","2016","02039","039 Clontarf East C, Dublin City","Euro","70556"
"IIA01","Household median gross income","2016","2016","02040","040 Clontarf East D, Dublin City","Euro","69150"
"IIA01","Household median gross income","2016","2016","02041","041 Clontarf East E, Dublin City","Euro","74484"
"IIA01","Household median gross income","2016","2016","02042","042 Clontarf West A, Dublin City","Euro","58613"
"IIA01","Household median gross income","2016","2016","02043","043 Clontarf West B, Dublin City","Euro","42873"
"IIA01","Household median gross income","2016","2016","02044","044 Clontarf West C, Dublin City","Euro","66068"
"IIA01","Household median gross income","2016","2016","02045","045 Clontarf West D, Dublin City","Euro","48075"
"IIA01","Household median gross income","2016","2016","02046","046 Clontarf West E, Dublin City","Euro","62601"
"IIA01","Household median gross income","2016","2016","02047","047 Drumcondra South A, Dublin City","Euro","63028"
"IIA01","Household median gross income","2016","2016","02048","048 Drumcondra South B, Dublin City","Euro","48970"
"IIA01","Household median gross income","2016","2016","02049","049 Drumcondra South C, Dublin City","Euro","55909"
"IIA01","Household median gross income","2016","2016","02050","050 Edenmore, Dublin City","Euro","37756"
"IIA01","Household median gross income","2016","2016","02051","051 Finglas North A, Dublin City","Euro","37594"
"IIA01","Household median gross income","2016","2016","02052","052 Finglas North B, Dublin City","Euro","35123"
"IIA01","Household median gross income","2016","2016","02053","053 Finglas North C, Dublin City","Euro","45740"
"IIA01","Household median gross income","2016","2016","02054","054 Finglas South A, Dublin City","Euro","35349"
"IIA01","Household median gross income","2016","2016","02055","055 Finglas South B, Dublin City","Euro","37717"
"IIA01","Household median gross income","2016","2016","02056","056 Finglas South C, Dublin City","Euro","35801"
"IIA01","Household median gross income","2016","2016","02057","057 Finglas South D, Dublin City","Euro","38353"
"IIA01","Household median gross income","2016","2016","02058","058 Grace Park, Dublin City","Euro","62220"
"IIA01","Household median gross income","2016","2016","02059","059 Grange A, Dublin City","Euro","56740"
"IIA01","Household median gross income","2016","2016","02060","060 Grange B, Dublin City","Euro","52073"
"IIA01","Household median gross income","2016","2016","02061","061 Grange C, Dublin City","Euro","42326"
"IIA01","Household median gross income","2016","2016","02062","062 Grange D, Dublin City","Euro","49145"
"IIA01","Household median gross income","2016","2016","02063","063 Grange E, Dublin City","Euro","42679"
"IIA01","Household median gross income","2016","2016","02064","064 Harmonstown A, Dublin City","Euro","45732"
"IIA01","Household median gross income","2016","2016","02065","065 Harmonstown B, Dublin City","Euro","50960"
"IIA01","Household median gross income","2016","2016","02066","066 Inns Quay A, Dublin City","Euro","41620"
"IIA01","Household median gross income","2016","2016","02067","067 Inns Quay B, Dublin City","Euro","33680"
"IIA01","Household median gross income","2016","2016","02068","068 Inns Quay C, Dublin City","Euro","32561"
"IIA01","Household median gross income","2016","2016","02069","069 Kilmore A, Dublin City","Euro","53567"
"IIA01","Household median gross income","2016","2016","02070","070 Kilmore B, Dublin City","Euro","35158"
"IIA01","Household median gross income","2016","2016","02071","071 Kilmore C, Dublin City","Euro","34210"
"IIA01","Household median gross income","2016","2016","02072","072 Kilmore D, Dublin City","Euro","43228"
"IIA01","Household median gross income","2016","2016","02073","073 Mountjoy A, Dublin City","Euro","31890"
"IIA01","Household median gross income","2016","2016","02074","074 Mountjoy B, Dublin City","Euro","29090"
"IIA01","Household median gross income","2016","2016","02075","075 North City, Dublin City","Euro","44053"
"IIA01","Household median gross income","2016","2016","02076","076 North Dock A, Dublin City","Euro","44197"
"IIA01","Household median gross income","2016","2016","02077","077 North Dock B, Dublin City","Euro","56062"
"IIA01","Household median gross income","2016","2016","02078","078 North Dock C, Dublin City","Euro","48549"
"IIA01","Household median gross income","2016","2016","02079","079 Phoenix Park, Dublin City","Euro","60561"
"IIA01","Household median gross income","2016","2016","02080","080 Priorswood A, Dublin City","Euro","48724"
"IIA01","Household median gross income","2016","2016","02081","081 Priorswood B, Dublin City","Euro","38195"
"IIA01","Household median gross income","2016","2016","02082","082 Priorswood C, Dublin City","Euro","37776"
"IIA01","Household median gross income","2016","2016","02083","083 Priorswood D, Dublin City","Euro","38127"
"IIA01","Household median gross income","2016","2016","02084","084 Priorswood E, Dublin City","Euro","47092"
"IIA01","Household median gross income","2016","2016","02085","085 Raheny-Foxfield, Dublin City","Euro","56204"
"IIA01","Household median gross income","2016","2016","02086","086 Raheny-Greendale, Dublin City","Euro","43275"
"IIA01","Household median gross income","2016","2016","02087","087 Raheny-St. Assam, Dublin City","Euro","58684"
"IIA01","Household median gross income","2016","2016","02088","088 Rotunda A, Dublin City","Euro","30822"
"IIA01","Household median gross income","2016","2016","02089","089 Rotunda B, Dublin City","Euro","33021"
"IIA01","Household median gross income","2016","2016","02090","090 Whitehall A, Dublin City","Euro","53018"
"IIA01","Household median gross income","2016","2016","02091","091 Whitehall B, Dublin City","Euro","45957"
"IIA01","Household median gross income","2016","2016","02092","092 Whitehall C, Dublin City","Euro","48169"
"IIA01","Household median gross income","2016","2016","02093","093 Whitehall D, Dublin City","Euro","50770"
"IIA01","Household median gross income","2016","2016","02094","094 Chapelizod, Dublin City","Euro","57021"
"IIA01","Household median gross income","2016","2016","02095","095 Cherry Orchard A, Dublin City","Euro","38117"
"IIA01","Household median gross income","2016","2016","02096","096 Carna, Dublin City","Euro","35044"
"IIA01","Household median gross income","2016","2016","02097","097 Cherry Orchard C, Dublin City","Euro","41881"
"IIA01","Household median gross income","2016","2016","02098","098 Crumlin A, Dublin City","Euro","41041"
"IIA01","Household median gross income","2016","2016","02099","099 Crumlin B, Dublin City","Euro","38444"
"IIA01","Household median gross income","2016","2016","02100","100 Crumlin C, Dublin City","Euro","42066"
"IIA01","Household median gross income","2016","2016","02101","101 Crumlin D, Dublin City","Euro","40746"
"IIA01","Household median gross income","2016","2016","02102","102 Crumlin E, Dublin City","Euro","38083"
"IIA01","Household median gross income","2016","2016","02103","103 Crumlin F, Dublin City","Euro","45259"
"IIA01","Household median gross income","2016","2016","02104","104 Decies, Dublin City","Euro","34826"
"IIA01","Household median gross income","2016","2016","02105","105 Drumfinn, Dublin City","Euro","36250"
"IIA01","Household median gross income","2016","2016","02106","106 Inchicore A, Dublin City","Euro","41553"
"IIA01","Household median gross income","2016","2016","02107","107 Inchicore B, Dublin City","Euro","30084"
"IIA01","Household median gross income","2016","2016","02108","108 Kilmainham A, Dublin City","Euro","35193"
"IIA01","Household median gross income","2016","2016","02109","109 Kilmainham B, Dublin City","Euro","56245"
"IIA01","Household median gross income","2016","2016","02110","110 Kilmainham C, Dublin City","Euro","42591"
"IIA01","Household median gross income","2016","2016","02111","111 Kimmage A, Dublin City","Euro","39108"
"IIA01","Household median gross income","2016","2016","02112","112 Kimmage B, Dublin City","Euro","39006"
"IIA01","Household median gross income","2016","2016","02113","113 Kimmage C, Dublin City","Euro","56043"
"IIA01","Household median gross income","2016","2016","02114","114 Kimmage D, Dublin City","Euro","44424"
"IIA01","Household median gross income","2016","2016","02115","115 Kimmage E, Dublin City","Euro","45051"
"IIA01","Household median gross income","2016","2016","02116","116 Kylemore, Dublin City","Euro","35168"
"IIA01","Household median gross income","2016","2016","02117","117 Mansion House A, Dublin City","Euro","35885"
"IIA01","Household median gross income","2016","2016","02118","118 Mansion House B, Dublin City","Euro","57247"
"IIA01","Household median gross income","2016","2016","02119","119 Merchants Quay A, Dublin City","Euro","32881"
"IIA01","Household median gross income","2016","2016","02120","120 Merchants Quay B, Dublin City","Euro","42329"
"IIA01","Household median gross income","2016","2016","02121","121 Merchants Quay C, Dublin City","Euro","37692"
"IIA01","Household median gross income","2016","2016","02122","122 Merchants Quay D, Dublin City","Euro","52524"
"IIA01","Household median gross income","2016","2016","02123","123 Merchants Quay E, Dublin City","Euro","47353"
"IIA01","Household median gross income","2016","2016","02124","124 Merchants Quay F, Dublin City","Euro","36526"
"IIA01","Household median gross income","2016","2016","02125","125 Pembroke East A, Dublin City","Euro","52841"
"IIA01","Household median gross income","2016","2016","02126","126 Pembroke East B, Dublin City","Euro","76865"
"IIA01","Household median gross income","2016","2016","02127","127 Pembroke East C, Dublin City","Euro","80154"
"IIA01","Household median gross income","2016","2016","02128","128 Pembroke East D, Dublin City","Euro","69820"
"IIA01","Household median gross income","2016","2016","02129","129 Pembroke East E, Dublin City","Euro","89620"
"IIA01","Household median gross income","2016","2016","02130","130 Pembroke West A, Dublin City","Euro","78000"
"IIA01","Household median gross income","2016","2016","02131","131 Pembroke West B, Dublin City","Euro","85780"
"IIA01","Household median gross income","2016","2016","02132","132 Pembroke West C, Dublin City","Euro","67714"
"IIA01","Household median gross income","2016","2016","02133","133 Rathfarnham, Dublin City","Euro","72432"
"IIA01","Household median gross income","2016","2016","02134","134 Rathmines East A, Dublin City","Euro","63520"
"IIA01","Household median gross income","2016","2016","02135","135 Rathmines East B, Dublin City","Euro","88134"
"IIA01","Household median gross income","2016","2016","02136","136 Rathmines East C, Dublin City","Euro","79917"
"IIA01","Household median gross income","2016","2016","02137","137 Rathmines East D, Dublin City","Euro","69205"
"IIA01","Household median gross income","2016","2016","02138","138 Rathmines West A, Dublin City","Euro","44478"
"IIA01","Household median gross income","2016","2016","02139","139 Rathmines West B, Dublin City","Euro","48247"
"IIA01","Household median gross income","2016","2016","02140","140 Rathmines West C, Dublin City","Euro","67974"
"IIA01","Household median gross income","2016","2016","02141","141 Rathmines West D, Dublin City","Euro","54690"
"IIA01","Household median gross income","2016","2016","02142","142 Rathmines West E, Dublin City","Euro","60649"
"IIA01","Household median gross income","2016","2016","02143","143 Rathmines West F, Dublin City","Euro","54702"
"IIA01","Household median gross income","2016","2016","02144","144 Royal Exchange A, Dublin City","Euro","41119"
"IIA01","Household median gross income","2016","2016","02145","145 Royal Exchange B, Dublin City","Euro","28367"
"IIA01","Household median gross income","2016","2016","02146","146 St. Kevin's, Dublin City","Euro","49822"
"IIA01","Household median gross income","2016","2016","02147","147 South Dock, Dublin City","Euro","76331"
"IIA01","Household median gross income","2016","2016","02148","148 Terenure A, Dublin City","Euro","57234"
"IIA01","Household median gross income","2016","2016","02149","149 Terenure B, Dublin City","Euro","61432"
"IIA01","Household median gross income","2016","2016","02150","150 Terenure C, Dublin City","Euro","84266"
"IIA01","Household median gross income","2016","2016","02151","151 Terenure D, Dublin City","Euro","96130"
"IIA01","Household median gross income","2016","2016","02152","152 Ushers A, Dublin City","Euro","67561"
"IIA01","Household median gross income","2016","2016","02153","153 Ushers B, Dublin City","Euro","38143"
"IIA01","Household median gross income","2016","2016","02154","154 Ushers C, Dublin City","Euro","35760"
"IIA01","Household median gross income","2016","2016","02155","155 Ushers D, Dublin City","Euro","36346"
"IIA01","Household median gross income","2016","2016","02156","156 Ushers E, Dublin City","Euro","32750"
"IIA01","Household median gross income","2016","2016","02157","157 Ushers F, Dublin City","Euro","54596"
"IIA01","Household median gross income","2016","2016","02158","158 Walkinstown A, Dublin City","Euro","46842"
"IIA01","Household median gross income","2016","2016","02159","159 Walkinstown B, Dublin City","Euro","43510"
"IIA01","Household median gross income","2016","2016","02160","160 Walkinstown C, Dublin City","Euro","41360"
"IIA01","Household median gross income","2016","2016","02161","161 Wood Quay A, Dublin City","Euro","25627"
"IIA01","Household median gross income","2016","2016","02162","162 Wood Quay B, Dublin City","Euro","41864"
"IIA01","Household median gross income","2016","2016","03001","001 Ballinascorney, South Dublin","Euro","41878"
"IIA01","Household median gross income","2016","2016","03002","002 Ballyboden, South Dublin","Euro","76162"
"IIA01","Household median gross income","2016","2016","03003","003 Bohernabreena, South Dublin","Euro","58160"
"IIA01","Household median gross income","2016","2016","03004","004 Clondalkin-Ballymount, South Dublin","Euro","58067"
"IIA01","Household median gross income","2016","2016","03005","005 Clondalkin-Cappaghmore, South Dublin","Euro","33283"
"IIA01","Household median gross income","2016","2016","03006","006 Clondalkin-Dunawley, South Dublin","Euro","40346"
"IIA01","Household median gross income","2016","2016","03007","007 Clondalkin-Monastery, South Dublin","Euro","49997"
"IIA01","Household median gross income","2016","2016","03008","008 Clondalkin-Moorfield, South Dublin","Euro","42220"
"IIA01","Household median gross income","2016","2016","03009","009 Clondalkin-Rowlagh, South Dublin","Euro","38089"
"IIA01","Household median gross income","2016","2016","03010","010 Clondalkin Village, South Dublin","Euro","48837"
"IIA01","Household median gross income","2016","2016","03011","011 Edmondstown, South Dublin","Euro","57632"
"IIA01","Household median gross income","2016","2016","03012","012 Firhouse-Ballycullen, South Dublin","Euro","81556"
"IIA01","Household median gross income","2016","2016","03013","013 Firhouse-Knocklyon, South Dublin","Euro","70480"
"IIA01","Household median gross income","2016","2016","03014","014 Firhouse Village, South Dublin","Euro","63175"
"IIA01","Household median gross income","2016","2016","03015","015 Lucan-Esker, South Dublin","Euro","64278"
"IIA01","Household median gross income","2016","2016","03016","016 Lucan Heights, South Dublin","Euro","56903"
"IIA01","Household median gross income","2016","2016","03017","017 Lucan-St. Helen's, South Dublin","Euro","60312"
"IIA01","Household median gross income","2016","2016","03018","018 Newcastle, South Dublin","Euro","57273"
"IIA01","Household median gross income","2016","2016","03019","019 Palmerston Village, South Dublin","Euro","47352"
"IIA01","Household median gross income","2016","2016","03020","020 Palmerston West, South Dublin","Euro","53190"
"IIA01","Household median gross income","2016","2016","03021","021 Rathcoole, South Dublin","Euro","59582"
"IIA01","Household median gross income","2016","2016","03022","022 Rathfarnham-Ballyroan, South Dublin","Euro","64915"
"IIA01","Household median gross income","2016","2016","03023","023 Rathfarnham-Butterfield, South Dublin","Euro","69760"
"IIA01","Household median gross income","2016","2016","03024","024 Rathfarnham-Hermitage, South Dublin","Euro","80530"
"IIA01","Household median gross income","2016","2016","03025","025 Rathfarnham-St. Enda's, South Dublin","Euro","65485"
"IIA01","Household median gross income","2016","2016","03026","026 Rathfarnham Village, South Dublin","Euro","67965"
"IIA01","Household median gross income","2016","2016","03027","027 Saggart, South Dublin","Euro","55179"
"IIA01","Household median gross income","2016","2016","03028","028 Tallaght-Avonbeg, South Dublin","Euro","36623"
"IIA01","Household median gross income","2016","2016","03029","029 Tallaght-Belgard, South Dublin","Euro","52863"
"IIA01","Household median gross income","2016","2016","03030","030 Tallaght-Fettercairn, South Dublin","Euro","36576"
"IIA01","Household median gross income","2016","2016","03031","031 Tallaght-Glenview, South Dublin","Euro","43622"
"IIA01","Household median gross income","2016","2016","03032","032 Tallaght-Jobstown, South Dublin","Euro","42775"
"IIA01","Household median gross income","2016","2016","03033","033 Tallaght-Killinardan, South Dublin","Euro","35993"
"IIA01","Household median gross income","2016","2016","03034","034 Tallaght-Kilnamanagh, South Dublin","Euro","54969"
"IIA01","Household median gross income","2016","2016","03035","035 Tallaght-Kiltipper, South Dublin","Euro","43495"
"IIA01","Household median gross income","2016","2016","03036","036 Tallaght-Kingswood, South Dublin","Euro","49299"
"IIA01","Household median gross income","2016","2016","03037","037 Tallaght-Millbrook, South Dublin","Euro","41703"
"IIA01","Household median gross income","2016","2016","03038","038 Tallaght-Oldbawn, South Dublin","Euro","48745"
"IIA01","Household median gross income","2016","2016","03039","039 Tallaght-Springfield, South Dublin","Euro","42677"
"IIA01","Household median gross income","2016","2016","03040","040 Tallaght-Tymon, South Dublin","Euro","39826"
"IIA01","Household median gross income","2016","2016","03041","041 Templeogue-Cypress, South Dublin","Euro","69383"
"IIA01","Household median gross income","2016","2016","03042","042 Templeogue-Kimmage Manor, South Dublin","Euro","80138"
"IIA01","Household median gross income","2016","2016","03043","043 Templeogue-Limekiln, South Dublin","Euro","48073"
"IIA01","Household median gross income","2016","2016","03044","044 Templeogue-Orwell, South Dublin","Euro","66991"
"IIA01","Household median gross income","2016","2016","03045","045 Templeogue-Osprey, South Dublin","Euro","66990"
"IIA01","Household median gross income","2016","2016","03046","046 Templeogue Village, South Dublin","Euro","75466"
"IIA01","Household median gross income","2016","2016","03047","047 Terenure-Cherryfield, South Dublin","Euro","46066"
"IIA01","Household median gross income","2016","2016","03048","048 Terenure-Greentrees, South Dublin","Euro","50678"
"IIA01","Household median gross income","2016","2016","03049","049 Terenure-St. James, South Dublin","Euro","38875"
"IIA01","Household median gross income","2016","2016","04001","001 Airport, Fingal","Euro","52482"
"IIA01","Household median gross income","2016","2016","04002","002 Balbriggan Rural, Fingal","Euro","45697"
"IIA01","Household median gross income","2016","2016","04003","003 Balbriggan Urban, Fingal","Euro","42407"
"IIA01","Household median gross income","2016","2016","04004","004 Baldoyle, Fingal","Euro","54984"
"IIA01","Household median gross income","2016","2016","04005","005 Balgriffin, Fingal","Euro","80530"
"IIA01","Household median gross income","2016","2016","04006","006 Ballyboghil, Fingal","Euro","61409"
"IIA01","Household median gross income","2016","2016","04007","007 Balscadden, Fingal","Euro","58510"
"IIA01","Household median gross income","2016","2016","04008","008 Blanchardstown-Abbotstown, Fingal","Euro","62675"
"IIA01","Household median gross income","2016","2016","04009","009 Blanchardstown-Blakestown, Fingal","Euro","58709"
"IIA01","Household median gross income","2016","2016","04010","010 Blanchardstown-Coolmine, Fingal","Euro","45761"
"IIA01","Household median gross income","2016","2016","04011","011 Blanchardstown-Corduff, Fingal","Euro","40192"
"IIA01","Household median gross income","2016","2016","04012","012 Blanchardstown-Delwood, Fingal","Euro","57708"
"IIA01","Household median gross income","2016","2016","04013","013 Blanchardstown-Mulhuddart, Fingal","Euro","42786"
"IIA01","Household median gross income","2016","2016","04014","014 Blanchardstown-Roselawn, Fingal","Euro","53133"
"IIA01","Household median gross income","2016","2016","04015","015 Blanchardstown-Tyrrelstown, Fingal","Euro","34167"
"IIA01","Household median gross income","2016","2016","04016","016 Castleknock-Knockmaroon, Fingal","Euro","79636"
"IIA01","Household median gross income","2016","2016","04017","017 Castleknock-Park, Fingal","Euro","89031"
"IIA01","Household median gross income","2016","2016","04018","018 Clonmethan, Fingal","Euro","59584"
"IIA01","Household median gross income","2016","2016","04019","019 Donabate, Fingal","Euro","65437"
"IIA01","Household median gross income","2016","2016","04020","020 Dubber, Fingal","Euro","52108"
"IIA01","Household median gross income","2016","2016","04021","021 Garristown, Fingal","Euro","52448"
"IIA01","Household median gross income","2016","2016","04022","022 Hollywood, Fingal","Euro","62735"
"IIA01","Household median gross income","2016","2016","04023","023 Holmpatrick, Fingal","Euro","62104"
"IIA01","Household median gross income","2016","2016","04024","024 Howth, Fingal","Euro","68442"
"IIA01","Household median gross income","2016","2016","04025","025 Kilsallaghan, Fingal","Euro","55115"
"IIA01","Household median gross income","2016","2016","04026","026 Kinsaley, Fingal","Euro","60188"
"IIA01","Household median gross income","2016","2016","04027","027 Lucan North, Fingal","Euro","105943"
"IIA01","Household median gross income","2016","2016","04028","028 Lusk, Fingal","Euro","59784"
"IIA01","Household median gross income","2016","2016","04029","029 Malahide East, Fingal","Euro","75514"
"IIA01","Household median gross income","2016","2016","04030","030 Malahide West, Fingal","Euro","77014"
"IIA01","Household median gross income","2016","2016","04031","031 Portmarnock North, Fingal","Euro","69543"
"IIA01","Household median gross income","2016","2016","04032","032 Portmarnock South, Fingal","Euro","64831"
"IIA01","Household median gross income","2016","2016","04033","033 Rush, Fingal","Euro","54842"
"IIA01","Household median gross income","2016","2016","04034","034 Skerries, Fingal","Euro","57676"
"IIA01","Household median gross income","2016","2016","04035","035 Sutton, Fingal","Euro","58475"
